Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Hotel Vertu,4,Very Good,3227,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,525",631
"Le ROI, Delhi@ New Delhi Railway Station",4,Very Good,4625,3,Paharganj,,,"2,474",633
Ashiana Hotel @ New Delhi Railway Station,3.7,Very Good,176,,Paharganj ,New Delhi Railway Station,880 m ,883,307
The Roseate,4.3,Excellent,2371,5,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,"12,024","2,164"
"The Connaught, New Delhi - IHCL SeleQtions",4.5,Excellent,2016,4,Connaught Place ,Connaught Place,980 m ,"7,499",
Hyatt Regency New Delhi,4.2,Very Good,1655,5,R.K. Puram ,T1 - Delhi Airport (IGI Airport),8.3 km ,"8,100","1,863"
Hotel Samrat,3.2,Good,2214,4,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"4,278",874
"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3",3.5,Very Good,1401,,Connaught Place ,Connaught Place,900 m ,"3,148",847
Golden Keys Inn,3.7,Very Good,752,3,North Delhi,,,"2,009",679
Ginger East Delhi,3.5,Very Good,3276,3,East Delhi,,,"1,839",
The Hans,3.6,Very Good,1397,4,Connaught Place ,Agrasen Ki Baoli,600 m ,"4,860",993
"Shubham Vilas
Like a 3",4.2,Very Good,323,,Rajouri Garden,,,"1,876",665
Ramada By Wyndham New Delhi Pitampura,3.5,Very Good,1620,4,North Delhi,,,"4,437",906
Svelte Hotel & Personal Suites,3.6,Very Good,967,5,Saket,,,"8,333",
The Grand Uddhav,4.2,Very Good,1838,3,Paharganj ,New Delhi Railway Station,740 m ,"3,081",817
Hotel Chanakya Inn,3.4,Good,2603,3,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"1,836",513
Hotel Viva Palace @ Delhi Airport,3.9,Very Good,528,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,271",567
Hotel Hari Piorko,3.8,Very Good,5220,3,Paharganj ,New Delhi Railway Station,630 m ,"1,104",412
Hotel Southern,3.4,Good,2350,3,Karol bagh,,,"1,951",469
Hotel Delhi 37,4.3,Excellent,8326,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505
Red Fox Hotel East Delhi,3.6,Very Good,1069,3,East Delhi,,,"1,908",692
HOME@B11,2.3,Average,3,,East Of Kailash,,,"2,758",901
The Umrao,3.9,Very Good,2863,5,Samalka ,Indira Gandhi International Airport,6.5 km ,"5,000",
IIDL Suites,4.1,Very Good,1926,4,East Delhi,,,"4,900",
Four Points by Sheraton Delhi,4,Very Good,1662,4,Samalka ,Indira Gandhi International Airport,6.4 km ,"4,559",
"Deventure Sarovar Portico, Kapashera, New Delhi",3.9,Very Good,2681,4,Delhi ,Indira Gandhi International Airport,8.1 km ,"5,022","1,026"
"The Dream House BnB | Rooms & Caretaker
Like a 3",4.1,Very Good,41,,Safdarjung Enclave ,T1 - Delhi Airport (IGI Airport),9.4 km ,"2,542",684
"Park Inn by Radisson, IP Extension- New Delhi",3.8,Very Good,2618,4,East Delhi,,,"4,150",
The Claridges New Delhi,4.1,Very Good,1055,5,Motilal Nehru Marg Area ,India Gate,2.2 km ,"10,350","1,863"
De Pavilion Hotel,3.6,Very Good,2047,4,Mahipalpur ,Indira Gandhi International Airport,4.6 km ,"3,164",646
Venizia Sarovar Portico,3.6,Very Good,563,4,North Delhi,,,"3,766",769
Centaur Hotel,2.5,Average,676,3,Delhi Airport ,Indira Gandhi International Airport,2.0 km ,"3,202",654
The Orion Plaza - Nehru Place,3.8,Very Good,1180,3,Near Nehru Place,,,"2,706",589
Dee Marks Hotel & Resort Delhi Airport,3.4,Good,1572,4,Mahipalpur ,Indira Gandhi International Airport,8.8 km ,"2,534",633
HOTEL LE SEASONS,3.6,Very Good,581,4,Mahipalpur ,Indira Gandhi International Airport,3.8 km ,"2,653",700
Caspia Hotel New Delhi Shalimar Bagh,3.4,Good,1725,3,North Delhi,,,"2,799",572
"Park Inn by Radisson, Lajpat Nagar",4.1,Very Good,1856,4,Andrews Ganj,,,"6,999",
Jukaso Inn Down Town,3.6,Very Good,1207,3,Connaught Place ,Connaught Place,700 m ,"3,134",682
Hotel LA New Delhi,3.6,Very Good,1764,4,Mangolpuri,,,"3,438",702
Kelvish Hotel Near Delhi Airport,3.9,Very Good,1337,3,Mahipalpur ,Indira Gandhi International Airport,5.4 km ,"1,869",481
Radisson Hyderabad Hitec City,3.7,Very Good,7994,5,Gachibowli,,,"4,500",
The Park Hyderabad,3.7,Very Good,11318,5,Somajiguda,,,"5,699","1,284"
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465,5,Hitech City,,,"16,150",
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006,4,Gachibowli,,,"4,004",818
Radisson Blu Plaza Hotel,4.1,Very Good,4632,5,Banjara Hills,,,"7,250",
Lemon Tree Hotel Gachibowli,4,Very Good,5372,4,Gachibowli,,,"4,183","1,518"
Red Fox Hotel Hyderabad,3.9,Very Good,4338,3,Hitech City,,,"2,654","1,050"
"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,Very Good,2775,4,Banjara Hills,,,"2,571",933
"Taj Krishna, Hyderabad",4.5,Excellent,1580,5,Banjara Hills,,,"8,000",
Novotel Hyderabad Airport,3.9,Very Good,1278,5,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",
Rester Select Kukatpally,4,Very Good,263,3,Kukatpally,,,"2,463",674
The Golkonda Hotel,4.1,Very Good,3981,4,Masab Tank,,,"5,499",660
Trident Hyderabad,4.7,Excellent,1517,5,Hitech City,,,"14,250",
Ellaa Hotel Gachibowli,3.8,Very Good,4341,4,Gachibowli,,,"3,321",678
Lemon Tree Premier HITEC City Hyderabad,4,Very Good,5148,5,Hitech City,,,"3,151","1,246"
"Siri Inn Hospitality | Rooms in an Apartment
Like a 3",3.6,Very Good,681,,Hitech City,,,"1,287",373
ibis Hyderabad HITEC City - An Accor Brand,3.8,Very Good,1016,3,Hitech City,,,"4,499",
Hyatt Place Hyderabad Banjara Hills,4.1,Very Good,1695,5,Banjara Hills,,,"7,249",
"Vivanta Hyderabad, Begumpet",4.4,Excellent,2743,5,Begumpet,,,"6,500",
Zen Comfort,4,Very Good,300,,Gachibowli,,,"1,438",387
Hyderabad Marriott Hotel and Convention Centre,4.3,Excellent,1240,5,Kavadiguda,,,"6,500",
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,Very Good,2343,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571
Daspalla Hotel,4.1,Very Good,1948,4,Jubilee Hills,,,"5,413","1,386"
Hotel OAK by Signature,4.2,Very Good,1722,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346
Aditya Park Hyderabad - A Sarovar Hotel,4,Very Good,2503,4,Ameerpet,,,"6,111","1,248"
"Park Hyatt Hotel and Residences, Hyderabad",4.2,Very Good,874,5,Sri Nagar Colony,,,"10,000",
Marigold By Green Park,4.3,Excellent,2477,5,Ameerpet,,,"5,714","1,485"
Hotel Hyderabad Grand,3.8,Very Good,1599,3,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756
Green Park,4.2,Very Good,1864,4,Ameerpet,,,"5,122","1,267"
The Central Court,3.6,Very Good,3819,3,Lakdikapul,,,"2,041",566
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894,3,Hitech City,,,"4,499",
Slackpackr Hostel,4.1,Very Good,87,,Begumpet,,,849,237
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359,3,Punjagutta,,,"4,140",540
CITADEL Hotel By Vinnca,4.1,Very Good,949,3,Gaghan Pahad,,,"2,932",802
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234,3,Ameerpet,,,"1,860",380
Hotel Deccan Serai Grande,4.4,Excellent,517,4,Gachibowli,,,"7,014","2,297"
Katriya Hotel and Towers,2.8,Average,3250,3,Somajiguda,,,"3,761",451
Hotel Saptagiri Hyderabad,3.8,Very Good,2861,3,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614
Hampshire Plaza Hotel,3.8,Very Good,1680,3,Lakdikapul,,,"3,379",891
"Taj Deccan, Hyderabad",4.4,Excellent,2694,5,Banjara Hills,,,"6,990",
Avasa Hotel,4.2,Very Good,2073,5,Madhapur,,,"6,696","1,368"
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520,3,Hitech City,,,"2,471",681
MARIGOLD AT NEST,3.8,Very Good,93,2,Gachibowli,,,"1,346",307
HOTEL RAINTR33,3.8,Very Good,1012,3,Hitech City,,,"2,011",550
Urban Nest Luxury Rooms,3.9,Very Good,206,,Kokapet,,,"1,046",357
Novotel Hyderabad Convention Centre,4.2,Very Good,2033,5,Hitech City,,,"10,500",
Hotel B Plus L,4,Very Good,866,4,Hitech City,,,"3,360",795
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236,3,Hitech City,,,"1,435",387
Le Meridien Hyderabad,4.3,Excellent,1059,5,Gachibowli,,,"10,500",
"Restel Studio Flats
Like a 3",4.2,Very Good,262,,Borabanda,,,"1,801",504
The Conclave,3.2,Good,958,3,Gachibowli,,,"1,613",497
The Landmark Banjara Hills,4,Very Good,613,3,Banjara Hills,,,"1,696",437
THE CENT,3.3,Good,1544,3,Lakdikapul,,,"1,662",389
Courtyard by Marriott Hyderabad,4.5,Excellent,981,4,Kavadiguda,,,"6,000",
"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,Very Good,220,,Gandipet,,,"7,346","2,197"
The Altruist Business Hotel (Hitech),3.7,Very Good,1888,4,Shilpa Hills,,,"4,278","1,028"
Istay Hotels Hitec,3.7,Very Good,1236,3,Kondapur,,,"2,913",613
Hyatt Hyderabad Gachibowli,4.1,Very Good,864,5,Gachibowli,,,"8,750",
The Art Boutique Hotel,3.8,Very Good,1515,3,Gachibowli,,,"2,197",677
Hotel Imperial Classic,3.9,Very Good,2183,3,Himayat Nagar,,,"1,068",315
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773,4,Punjagutta,,,"5,000",
Veeraj Suites,4,Very Good,435,3,Rai Durg,,,"2,170",599
Bloom Hotel - Gachibowli,4.1,Very Good,181,3,Gachibowli,,,"4,500",
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957,,Gachibowli,,,"7,500",
Aalankrita Resort & Convention,4.1,Very Good,3109,4,Secunderabad ,city centre,26.5 km ,"4,484",916
Minerva Grand- Kondapur,3.9,Very Good,1019,3,Kothaguda,,,"4,371",893
M SQUARE HOTEL,3.9,Very Good,263,3,Hitech City,,,"4,395",898
Sri Sri Suites,3.4,Good,152,,Madhapur,,,"1,208",330
The Manohar,2.7,Average,258,3,Begumpet,,,"3,158",645
The Lime Boutique Suites,4.1,Very Good,1434,3,Gachibowli,,,"2,976",608
Taj Tristar,3.9,Very Good,992,3,Secunderabad ,city centre,7.7 km ,"2,271",494
Minerva Grand - Banjara,4,Very Good,1453,3,Banjara Hills,,,"4,464",912
Sheraton Hyderabad,4.3,Excellent,769,5,Gachibowli,,,"1,250",
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071,5,Begumpet,,,"9,690",
Bikanervala Boutique Hotel,4.1,Very Good,1037,3,Banjara Hills,,,"3,488",713
The Park Kolkata,3.9,Very Good,7647,5,New Market Area ,Park Street,210 m ,"4,207",886
"Zone By The Park, Kolkata",3.8,Very Good,8656,5,New Town,,,"3,915",926
JW Marriott Hotel Kolkata,4.4,Excellent,1527,5,Tangra,,,"7,800",
ibis Kolkata Rajarhat - An Accor Brand,3.9,Very Good,2355,4,New Town,,,"2,220",
The Lalit Great Eastern Kolkata,4.2,Very Good,2486,5,Bow Barracks ,Eden Gardens,970 m ,"6,365",764
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Excellent,3849,5,Tangra,,,"8,925",
"Lemon Tree Premier, New Town, Kolkata",4.2,Very Good,3026,5,New Town,,,"2,156",782
Novotel Kolkata Hotel and Residences,4.1,Very Good,2827,5,New Town,,,"5,060",
All Fresco Hotel,3.7,Very Good,688,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483
Regenta Orko's Kolkata,3.9,Very Good,2055,4,Kasba ,Acropolis Mall,680 m ,"3,321",449
"Holiday Inn Express, Kolkata Airport",4.1,Very Good,1655,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Good,534,,Salt Lake City,,,724,257
Holiday Inn Kolkata Airport,4.1,Very Good,2486,5,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",
"Taj City Centre New Town, Kolkata",4.4,Excellent,1556,5,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",
"Vivanta Kolkata, EM Bypass",4.4,Excellent,2031,5,East Kolkata Township,,,"5,500",
Hyatt Regency Kolkata,4.2,Very Good,1426,5,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694
"Bandhan Residency
Like a 3",3.7,Very Good,460,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350
The Oberoi Grand,4.7,Excellent,1268,5,New Market Area ,Park Street,930 m ,"8,000",
"Fairfield by Marriott, Kolkata",4.1,Very Good,2332,4,New Town,,,"2,499",
Ethnotel,4,Very Good,3211,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621
Backpackers Park Hostel @ParkStreet,3.8,Very Good,417,,New Market Area ,Park Street,150 m ,893,209
THE WESTIN KOLKATA RAJARHAT,4.4,Excellent,2067,5,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",
"Taj Bengal, Kolkata",4.6,Excellent,1165,5,Alipore,,,"8,000",
Hotel Senses,3.9,Very Good,1943,4,Salt Lake City ,Salt Lake Sec V,900 m ,"3,716","1,016"
ITC Sonar - A Luxury Collection Hotel,4.4,Excellent,2325,5,Tangra,,,"7,225",
Kenilworth Hotel,4.3,Excellent,669,4,Park Street Area,,,"6,054",727
The Peerless Inn,3.9,Very Good,3539,4,Near Howrah Train Station ,Eden Gardens,770 m ,"4,186",855
De Sovrani,3.9,Very Good,1260,4,Salt Lake City,,,"2,916",690
"Pride Plaza Hotel, Kolkata",3.9,Very Good,1861,5,New Town,,,"2,800",336
"City Central Hostel, Kolkata",4.6,Excellent,77,,Kolkata ,Dharamtala Market,980 m ,736,198
Siamton Inn - A Cygnett Collection,4,Very Good,2312,4,Park Street ,Park Street,10 m ,"2,790",677
Hotel Aauris,4.1,Very Good,1658,4,Park Street ,Park Street,430 m ,"4,650",950
"Howard Johnson by Wyndham, Kolkata Airport",3.9,Very Good,1150,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.6 km ,"2,500",
Park Prime Kolkata,3.8,Very Good,2036,3,Ballygunge,,,"3,652","1,006"
Joey's Nest,4.7,Excellent,54,,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9.5 km ,"2,245",583
Hotel Hindusthan International,3.6,Very Good,1907,5,Bhowanipore,,,"4,134",978
Hotel Niharika,4.1,Very Good,1551,3,Elgin,,,"2,790",570
Vedic Village Spa Resort,4,Very Good,3761,4,Vedic Village,,,"3,688",944
Park Palace Hotel,3.6,Very Good,1471,3,Ballygunge,,,"1,350",431
Offbeat CCU Bunkers,4.3,Excellent,92,,Topsia,,,944,205
Monotel Luxury Business Hotel,3.9,Very Good,1744,4,Salt Lake City,,,"3,523",855
AIRPORT CITY HOTEL,3.9,Very Good,1658,4,Birati ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,994",767
The Lindsay,3.5,Very Good,1990,3,New Market Area ,Park Street,870 m ,"2,907",710
RituIvy,4,Very Good,547,3,East Kolkata Township,,,"2,132",588
Hotel O2 Oxygen,3.8,Very Good,826,4,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.1 km ,"2,856",583
VISITEL - A BOUTIQUE HOTEL,3.8,Very Good,1058,3,Kankurgachi,,,"1,991",590
IndiSmart Hotel,3.9,Very Good,277,3,Salt Lake City,,,"1,999",515
LYNQ AERO,4,Very Good,461,3,Salt Lake City,,,"3,242",767
"Park Guest House, Kolkata",3.7,Very Good,19,,Park Street ,Park Street,140 m ,"1,045",315
Regenta Inn Larica,3.6,Very Good,1448,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"2,713",419
Golden Tulip Kolkata,4.1,Very Good,1538,4,Salt Lake City,,,"3,772",770
The Senator,4.3,Excellent,1016,3,Elgin,,,"2,511",513
Gallery 67,4.2,Very Good,832,3,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9.4 km ,"2,536",737
CHOWDHURY'S ESTATES,3.5,Very Good,24,,Elgin,,,"1,935",480
Pipal Tree Hotel,4,Very Good,2274,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"3,579",846
Stayotel,4,Very Good,606,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.5 km ,"2,365",672
"Raajkutir, Kolkata - IHCL SeleQtions",4.6,Excellent,576,5,Kankurgachi ,Salt Lake Stadium,810 m ,"5,350",
The Sonnet,4.1,Very Good,844,4,Salt Lake City,,,"4,937","1,233"
"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,Excellent,99,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,"1,440",418
Aristocrat Hotel,3.7,Very Good,262,4,New Town,,,"1,966",409
The Fern Residency Kolkata,3.8,Very Good,1051,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"2,462",582
Sapphire Suites,3.8,Very Good,776,3,New Market Area ,Park Street,780 m ,"3,089",631
Victoria Hotel,4,Very Good,862,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,"2,388",720
The Pearl Hotel,3.3,Good,608,3,Beliaghata ,Salt Lake Stadium,840 m ,"1,517",484
The Astor,4.2,Very Good,933,4,Park Street Area,,,"4,502",920
Barsana Boutique Hotel (Pure vegetarian),4.2,Very Good,296,3,Tangra,,,"3,767",770
THE MAUREEN KOLKATA,4,Very Good,1441,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"3,188",671
The Aster Penthouse,4.2,Very Good,12,,Ballygunge ,Park Street,960 m ,"1,766",532
The Firangipani Suites,4,Very Good,106,3,New Town,,,"1,980",484
Celesta,4.1,Very Good,1087,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"3,085",842
HOTEL EASTERN PLAZA,3.3,Good,1312,3,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"1,192",331
Hotel Aura,3.6,Very Good,432,3,New Market Area,,,"2,106",599
Viceroy Kolkata (Boutique Hotel),3.8,Very Good,1077,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,"2,562",523
Beyzaa Hotel & Suites (Brewery Hotel),4.2,Very Good,593,4,Salt Lake City,,,"4,589",551
The CORPORATE,3.4,Good,577,3,Park Street ,Park Street,130 m ,"3,086",867
Hotel Trimoorti,3.6,Very Good,1375,3,Bhowanipore,,,"1,488",476
Bubble Beds,3.9,Very Good,376,,Kalighat ,Kalighat Kali Temple,960 m ,597,161
The Opus Kolkata - A Boutique Hotel,3.9,Very Good,376,3,Bhowanipore,,,"2,372",485
Hotel Crest Inn,3.7,Very Good,975,,Park Circus,,,"1,260",382
Golden Parkk,3.6,Very Good,219,3,Park Street Area ,Park Street,960 m ,"3,767",770
Hotel The Crest,3.8,Very Good,324,,Park Circus,,,"1,328",384
Park Victoria Hotel,3.4,Good,383,,New Market Area ,Park Street,250 m ,"1,507",308
The Samilton,4,Very Good,777,3,Bhowanipore,,,"3,499",420
Treebo Trend Orion Sapphire Beck Bagan,3.8,Very Good,127,,Park Street ,Park Street,770 m ,"2,540",530
Eennra Oiitijhyya,4.4,Excellent,142,3,Keyatala,,,"1,994",567
"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3",4.3,Excellent,115,,New Market Area ,Park Street,60 m ,"2,452",660
Basera Guest House,4.1,Very Good,635,,Gariahat,,,"1,000",289
LYNQ-CICO - Hotel,3.8,Very Good,634,3,Alipore,,,"2,372",576
The Lake Hotel,3.7,Very Good,396,3,Dhakuria,,,"1,986",528
"The Aster Heritage Gold
Like a 3",4.4,Excellent,17,,New Market Area ,Park Street,50 m ,"4,723","1,320"
Treebo Tryst Tahoora International Park Street,3.7,Very Good,70,3,Park Street ,Park Street,100 m ,"3,257",680
Southern Plaza,3.8,Very Good,276,3,Kalighat,,,"3,201",674
DIAMOND PLAZA,3.8,Very Good,736,,Bow Bazaar ,College Street,800 m ,"1,850",438
Lytton Hotel,3.6,Very Good,431,3,New Market Area ,Park Street,560 m ,"3,004",711
"Dorota House | Room & Caretaker
Like a 3",4,Very Good,73,,Salt Lake City,,,"1,365",412
Hotel O2 VIP,3.9,Very Good,356,3,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,212",481
Hotel Gateway Continental,3.8,Very Good,600,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.3 km ,"2,800",737
Hotel Air View,4,Very Good,539,,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.8 km ,"1,078",255
Hotel Casa Fortuna,3.9,Very Good,693,3,Park Street Area,,,"3,934",950
Middleton Inn,3.5,Very Good,264,3,Park Street ,Park Street,710 m ,"2,590",545
Hotel Sawood International,3.6,Very Good,687,3,Tangra,,,"2,122",560
The Orchid Hotel Mumbai Vile Parle,4,Very Good,5593,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,"6,499",780
Trident Bandra Kurla,4.6,Excellent,4987,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,"8,750",
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,5,South Mumbai ,Cooper hospital,620 m ,"14,000",
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"5,099",612
Trident Nariman Point,4.6,Excellent,5563,5,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,"11,250",
The Lalit Mumbai,4.1,Very Good,6468,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,"11,160","3,000"
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,"3,679",
"Taj Santacruz, Mumbai",4.6,Excellent,4563,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,"9,000",
Hotel Surya Prakash,3.9,Very Good,121,3,Chembur,,,"3,939",968
Hilton Mumbai International Airport,4.2,Very Good,1686,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,"9,100",
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"6,999",
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,,South Mumbai,,,816,211
The Regale by Tunga,4.1,Very Good,4946,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"4,427",932
"Taj Lands End, Mumbai",4.5,Excellent,4222,5,Bandra West ,Band Stand,230 m ,"11,000",
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"7,095","2,136"
Sahara Star,4.2,Very Good,7303,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,"10,400","1,872"
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,160",341
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,"7,500",
The Westin Mumbai Garden City,4.4,Excellent,1431,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,"9,000",
JW Marriott Mumbai Juhu,4.4,Excellent,1731,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,"12,500",
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,"10,030",
City Stay,4.6,Excellent,214,,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"1,229",370
JW Marriott Mumbai Sahar,4.5,Excellent,2139,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,"9,500",
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,5,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,"7,000",
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,550","1,539"
The Leela Mumbai,4.5,Excellent,2861,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"10,500",
Novotel Mumbai International Airport,4.4,Excellent,102,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,"8,299",
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,"7,499",
Sun-N-Sand,4.2,Very Good,2353,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"8,835","2,660"
The St. Regis Mumbai,4.5,Excellent,1328,5,South Mumbai ,Tata memorial cancer hospital,640 m ,"12,500",
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,Very Good,1443,4,In Mumbai Airport ,,,"9,303","2,501"
"Zostel Mumbai
Like a 3",4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,"9,000",
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,4,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,"4,975","1,806"
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,4,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,"5,275","1,430"
Ramee Techome,4,Very Good,1173,4,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,"6,231","1,273"
Shabana,3.5,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,"1,304",355
Hotel Bawa International,4,Very Good,1817,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,"5,000",
"Ginger Mumbai, Goregaon",3.8,Very Good,478,4,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,"3,224",
